Date,Course Category,Course Name,Course Price,Instructor Cost,Refund Amount,Leads_Clean,Enrollments_clean,Marketing_spend
10/13/2024,Data,Sql Bootcamp,7999,42016,0,,76,45867
2/16/2023,Unknown,Financial Modeling,9999,,0,,,
5/20/2024,Marketing,Digital Marketing,11999,56160,0,,44,
4/11/2023,Unknown,Data Analytics,5999,,29677,,6,
5/16/2023,Marketing,Brand Strategy,5999,,22863,,,
1/24/2023,Data,Power Bi Mastery,5999,,0,,,
2/20/2023,Unknown,Financial Modeling,11999,,0,,,
9/13/2023,Unknown,Digital Marketing,5999,47092,0,167,39,
10/31/2023,Data,Sql Bootcamp,,,45832,,71,128792
1/12/2024,Unknown,Brand Strategy,6999,,0,,31,
9/5/2023,Unknown,Corporate Finance,7999,,0,,118,140990
5/15/2024,Unknown,Brand Strategy,6999,30704,0,,,116883
5/5/2023,Data,Sql Bootcamp,5999,46709,0,538,,
4/12/2024,Finance,Financial Modeling,9999,,29262,,,34856
3/15/2024,Unknown,Performance Marketing,7999,,0,,,
12/4/2024,Unknown,Equity Research,7999,5021,43625,,,27949
12/31/2024,Unknown,Equity Research,9999,,0,,,
10/26/2024,Data,Data Analytics,9999,,0,,25,
2/22/2024,Finance,Equity Research,,,0,,13,
7/5/2023,Data,Power Bi Mastery,9999,,30870,,114,
1/24/2024,Marketing,Digital Marketing,5999,,0,,68,129818
3/29/2024,Unknown,Brand Strategy,7999,,35046,,5,
12/13/2024,Marketing,Digital Marketing,9999,10694,42948,,116,
1/28/2024,Data,Data Analytics,,,0,,95,169048
12/18/2023,Unknown,Performance Marketing,9999,,0,,,
10/7/2023,Unknown,Financial Modeling,9999,,15493,,1,
3/19/2023,Marketing,Digital Marketing,11999,,5004,413,43,
6/27/2024,Marketing,Performance Marketing,9999,,10539,,,
7/16/2024,Data,Data Analytics,9999,66449,22609,,,
2/24/2024,Unknown,Power Bi Mastery,9999,,0,,,
7/8/2023,Marketing,Brand Strategy,11999,,0,,,9040
5/8/2023,Data,Power Bi Mastery,,11465,0,,,93322
1/29/2024,Marketing,Performance Marketing,9999,,0,,,
4/29/2024,Unknown,Digital Marketing,7999,,0,,,189423
5/1/2024,Unknown,Sql Bootcamp,9999,,0,,,
8/15/2024,Unknown,Data Analytics,9999,69252,0,,,131489
11/30/2023,Finance,Equity Research,6999,68876,20301,,,
5/27/2024,Marketing,Brand Strategy,,,0,470,90,
5/2/2024,Data,Data Analytics,,,0,,,
6/7/2023,Unknown,Sql Bootcamp,9999,,0,672,101,
2/18/2023,Unknown,Brand Strategy,5999,,0,,,
2/18/2023,Data,Power Bi Mastery,5999,,18931,,5,
7/13/2023,Finance,Equity Research,9999,21725,0,,23,
8/3/2023,Marketing,Digital Marketing,11999,,0,180,,129298
3/8/2024,Unknown,Corporate Finance,9999,6382,0,,,
10/10/2023,Unknown,Data Analytics,7999,,0,,,
10/11/2023,Data,Sql Bootcamp,9999,55118,0,,96,
3/16/2024,Data,Power Bi Mastery,11999,88275,0,209,,
12/29/2023,Marketing,Digital Marketing,5999,77775,0,,52,
8/24/2023,Marketing,Digital Marketing,11999,,0,,,
2/26/2023,Marketing,Performance Marketing,5999,,2547,200,,
6/19/2023,Unknown,Financial Modeling,11999,3882,8889,,,
9/21/2024,Data,Data Analytics,7999,,0,,,67815
7/1/2024,Marketing,Performance Marketing,9999,,0,,14,52577
9/17/2023,Data,Sql Bootcamp,6999,,0,111,,
6/14/2024,Unknown,Equity Research,9999,66940,0,,87,
1/28/2024,Unknown,Performance Marketing,6999,,9177,,33,
1/10/2024,Finance,Financial Modeling,9999,49572,0,,,
7/29/2024,Finance,Equity Research,5999,,0,,106,
1/26/2024,Unknown,Sql Bootcamp,5999,,0,,37,
3/31/2023,Finance,Financial Modeling,5999,,0,459,,
2/27/2024,Unknown,Digital Marketing,11999,,34018,,9,
10/7/2023,Marketing,Digital Marketing,11999,,1247,,54,
5/29/2023,Unknown,Data Analytics,7999,,41354,,19,
4/30/2023,Unknown,Digital Marketing,,59081,0,,54,
4/17/2023,Finance,Equity Research,7999,46210,27052,,,
3/11/2024,Marketing,Digital Marketing,,,38151,,,91957
11/24/2023,Marketing,Digital Marketing,5999,52535,0,,,
12/24/2024,Finance,Equity Research,11999,69229,0,499,15,
8/12/2024,Finance,Equity Research,7999,,0,,,
6/26/2024,Data,Sql Bootcamp,5999,,38276,,78,
1/1/2023,Unknown,Digital Marketing,9999,,0,,,
1/21/2024,Unknown,Digital Marketing,6999,,0,,,
9/11/2024,Unknown,Digital Marketing,9999,43826,0,,115,
7/31/2023,Unknown,Data Analytics,11999,79536,26871,,,
3/3/2024,Unknown,Sql Bootcamp,11999,,0,,59,119647
11/2/2023,Marketing,Performance Marketing,5999,,7085,536,,
10/30/2024,Finance,Equity Research,7999,,0,179,81,
2/23/2023,Unknown,Equity Research,6999,,0,,47,
2/9/2023,Finance,Financial Modeling,7999,,0,,,
12/22/2024,Marketing,Digital Marketing,,49809,0,94,,48041
4/6/2024,Marketing,Brand Strategy,9999,,19076,,80,
12/28/2023,Unknown,Data Analytics,9999,,39974,,,68385
6/15/2023,Unknown,Equity Research,9999,,0,273,109,
6/14/2023,Finance,Equity Research,5999,,0,,,
3/22/2023,Marketing,Digital Marketing,11999,34158,0,,84,
12/7/2023,Unknown,Sql Bootcamp,5999,32811,11231,,72,
11/28/2023,Unknown,Data Analytics,11999,,48146,655,18,
5/18/2023,Unknown,Digital Marketing,6999,83232,0,,,
8/11/2023,Finance,Financial Modeling,,65876,29413,59,44,190264
2/20/2023,Data,Sql Bootcamp,9999,,0,,85,
10/12/2023,Marketing,Digital Marketing,7999,,39135,365,,32111
10/20/2023,Unknown,Data Analytics,,,0,,20,
1/24/2024,Finance,Corporate Finance,11999,,0,,43,
7/17/2024,Marketing,Digital Marketing,,52295,1271,,,
1/27/2024,Marketing,Digital Marketing,7999,,0,,,
2/14/2023,Finance,Financial Modeling,7999,,9521,381,12,
6/12/2023,Data,Data Analytics,6999,,2291,,112,181910
7/18/2023,Unknown,Sql Bootcamp,,44889,1177,,97,
2/28/2024,Unknown,Sql Bootcamp,7999,,28196,633,42,
4/23/2024,Unknown,Brand Strategy,7999,,0,,,
3/15/2024,Finance,Equity Research,7999,7568,0,,,
9/2/2024,Data,Sql Bootcamp,,64494,0,,91,
2/10/2024,Data,Data Analytics,9999,,0,,,
10/3/2023,Unknown,Equity Research,11999,,10378,,93,
4/1/2024,Finance,Corporate Finance,5999,72237,23057,618,,
5/31/2024,Marketing,Digital Marketing,,,0,,105,
12/17/2023,Marketing,Digital Marketing,5999,,0,,,
8/27/2024,Marketing,Digital Marketing,5999,79087,0,,,
2/7/2023,Finance,Equity Research,6999,13397,0,,72,64914
4/7/2024,Unknown,Power Bi Mastery,9999,,0,,,78654
2/14/2023,Unknown,Digital Marketing,7999,,0,,,
6/15/2023,Unknown,Digital Marketing,7999,,0,396,,7836
4/20/2024,Marketing,Brand Strategy,6999,,0,,,
4/27/2023,Unknown,Financial Modeling,6999,,7317,,,
5/3/2024,Unknown,Brand Strategy,7999,,0,571,74,73199
6/21/2023,Unknown,Data Analytics,6999,,49000,,38,164036
7/11/2024,Finance,Financial Modeling,6999,6070,22044,,,
4/16/2023,Unknown,Data Analytics,7999,,28033,,11,
11/17/2023,Marketing,Digital Marketing,5999,71923,0,,45,
8/7/2023,Finance,Equity Research,,,0,,,
8/18/2023,Unknown,Equity Research,11999,,0,,61,
8/9/2023,Unknown,Corporate Finance,9999,54644,0,,,
8/2/2023,Finance,Financial Modeling,7999,14380,0,,,
4/6/2023,Data,Sql Bootcamp,5999,46999,0,,,
11/28/2023,Unknown,Data Analytics,,,0,,,
8/11/2024,Unknown,Equity Research,9999,66708,0,,,97404
3/12/2024,Marketing,Digital Marketing,6999,,29446,,,
5/28/2023,Data,Power Bi Mastery,5999,88112,2130,,,
1/22/2024,Unknown,Data Analytics,9999,,12395,349,,16687
11/14/2023,Finance,Equity Research,,,42423,,84,
12/16/2023,Marketing,Digital Marketing,7999,36884,0,,,55154
1/10/2023,Finance,Equity Research,11999,,49449,,,
2/23/2023,Finance,Corporate Finance,7999,,0,130,,24617
3/13/2024,Unknown,Digital Marketing,7999,,0,387,,77533
8/23/2024,Unknown,Brand Strategy,6999,,24636,533,,
2/18/2024,Marketing,Digital Marketing,9999,7433,0,,,
9/29/2024,Unknown,Digital Marketing,6999,,0,,,121023
5/12/2024,Finance,Equity Research,9999,,0,,,
12/1/2023,Marketing,Brand Strategy,7999,,9752,395,21,
1/17/2023,Unknown,Equity Research,5999,49355,6456,,,
7/31/2023,Finance,Equity Research,11999,,23943,,,
10/31/2024,Data,Power Bi Mastery,,74685,0,,95,
3/9/2023,Data,Sql Bootcamp,5999,70204,0,,,157438
8/22/2024,Marketing,Digital Marketing,,82808,0,,,82744
12/10/2024,Finance,Equity Research,9999,45907,0,,,
10/30/2023,Unknown,Power Bi Mastery,,14439,37540,160,,
7/8/2024,Marketing,Digital Marketing,6999,,0,49,,98601
3/15/2023,Unknown,Data Analytics,6999,,40831,,15,
8/11/2023,Marketing,Digital Marketing,5999,,0,,106,
5/10/2023,Unknown,Sql Bootcamp,6999,54717,0,,115,
2/11/2024,Unknown,Corporate Finance,7999,72068,19866,,18,
10/2/2024,Data,Sql Bootcamp,7999,89024,0,,,
7/3/2023,Unknown,Digital Marketing,7999,,0,395,,28394
3/25/2024,Marketing,Digital Marketing,7999,,31774,,71,
3/25/2023,Unknown,Power Bi Mastery,,60780,0,,,
9/2/2023,Data,Sql Bootcamp,11999,,0,,46,
9/20/2023,Finance,Equity Research,6999,,26838,,38,
5/6/2023,Finance,Corporate Finance,7999,16628,0,,,
12/18/2024,Unknown,Equity Research,9999,75778,0,,,
6/17/2023,Finance,Financial Modeling,7999,,34658,,,
10/20/2023,Data,Power Bi Mastery,,8048,0,,,
1/10/2024,Marketing,Performance Marketing,9999,29379,0,,10,
8/12/2024,Data,Power Bi Mastery,9999,,0,721,,
6/30/2023,Unknown,Corporate Finance,9999,,0,,,
5/29/2024,Unknown,Brand Strategy,9999,,9476,,,111979
6/29/2024,Marketing,Digital Marketing,9999,,0,730,70,156789
4/23/2023,Data,Data Analytics,5999,,0,,50,122029
8/24/2023,Finance,Equity Research,7999,9650,0,20,,
10/31/2024,Marketing,Brand Strategy,11999,,0,,23,145491
12/27/2024,Unknown,Digital Marketing,,,18146,,9,
1/14/2024,Unknown,Data Analytics,,,0,,,74857
11/22/2023,Unknown,Performance Marketing,5999,,0,575,,66156
10/29/2023,Unknown,Financial Modeling,5999,,48972,,66,
4/8/2023,Data,Power Bi Mastery,7999,,0,,,
4/3/2024,Unknown,Data Analytics,9999,,9418,,15,
5/27/2024,Marketing,Digital Marketing,11999,83335,0,,,
10/17/2023,Data,Data Analytics,7999,,0,,77,104090
1/12/2024,Unknown,Performance Marketing,7999,,0,,,
9/9/2024,Unknown,Brand Strategy,5999,65945,0,,7,52599
10/11/2024,Finance,Equity Research,7999,,0,,61,
7/19/2023,Unknown,Data Analytics,9999,,36796,,,
5/18/2023,Unknown,Brand Strategy,,,8267,,12,
1/11/2024,Marketing,Digital Marketing,7999,,0,,,196541
11/8/2024,Data,Sql Bootcamp,5999,,0,426,83,
2/20/2023,Data,Sql Bootcamp,9999,,0,785,,
2/26/2023,Unknown,Sql Bootcamp,9999,77981,45792,,23,
7/15/2023,Unknown,Financial Modeling,11999,81999,488,210,,
10/12/2023,Data,Power Bi Mastery,7999,,0,,,
5/20/2024,Data,Sql Bootcamp,5999,18375,0,189,,
1/7/2023,Data,Power Bi Mastery,9999,,0,,15,194676
12/12/2024,Finance,Corporate Finance,5999,,0,,,52981
6/19/2024,Unknown,Data Analytics,5999,,0,693,46,
1/16/2024,Unknown,Digital Marketing,9999,,15633,779,,
6/29/2023,Finance,Corporate Finance,7999,,49924,236,62,96736
12/24/2024,Unknown,Corporate Finance,11999,,0,,41,
7/11/2024,Marketing,Digital Marketing,11999,,0,,115,
7/11/2024,Unknown,Financial Modeling,7999,29869,20092,,,
8/22/2023,Unknown,Digital Marketing,6999,20663,36431,,11,
1/20/2023,Finance,Equity Research,,,14198,,102,
4/15/2023,Finance,Equity Research,5999,75928,0,,31,
4/18/2023,Unknown,Power Bi Mastery,7999,11953,0,,,
9/30/2024,Marketing,Brand Strategy,7999,,0,,,146499
7/3/2024,Unknown,Digital Marketing,9999,,0,,20,
9/1/2024,Finance,Corporate Finance,6999,,0,,8,
1/8/2024,Finance,Equity Research,,18366,0,,,
10/23/2024,Unknown,Digital Marketing,,80055,0,,105,72859
9/4/2024,Unknown,Digital Marketing,,,14555,,89,106381
12/4/2023,Marketing,Brand Strategy,9999,70029,10839,278,112,
7/4/2024,Finance,Financial Modeling,7999,,0,,46,
7/11/2024,Marketing,Performance Marketing,7999,,0,,30,
11/4/2024,Marketing,Performance Marketing,9999,,0,347,,90830
9/3/2024,Unknown,Brand Strategy,,,0,,70,
1/8/2024,Marketing,Performance Marketing,9999,14841,0,,,
8/17/2023,Unknown,Equity Research,7999,,0,,,
1/8/2023,Unknown,Corporate Finance,7999,,44433,,81,150643
5/14/2024,Unknown,Power Bi Mastery,7999,,0,,,7549
2/25/2023,Data,Data Analytics,,,0,,56,175632
9/9/2023,Unknown,Sql Bootcamp,7999,40854,0,161,2,40454
1/9/2024,Finance,Financial Modeling,9999,,0,,,
6/10/2024,Marketing,Digital Marketing,11999,67428,12325,,,
8/26/2023,Data,Data Analytics,11999,83618,0,,,
2/2/2023,Unknown,Equity Research,5999,36210,0,,91,
11/24/2024,Unknown,Sql Bootcamp,6999,,0,,,
8/16/2024,Marketing,Performance Marketing,9999,81961,0,,,
4/1/2023,Finance,Equity Research,5999,70134,0,,117,
8/20/2024,Data,Sql Bootcamp,9999,71163,0,,,34120
1/18/2023,Data,Data Analytics,11999,,12879,,48,
2/18/2023,Marketing,Digital Marketing,6999,,0,,100,
10/18/2023,Unknown,Digital Marketing,9999,,33488,575,,19720
3/2/2023,Unknown,Digital Marketing,9999,,0,652,,
10/4/2024,Data,Power Bi Mastery,5999,,16570,,,
6/5/2024,Unknown,Data Analytics,11999,,0,,,144829
6/26/2023,Marketing,Brand Strategy,11999,,0,,68,151961
10/6/2024,Data,Sql Bootcamp,9999,,0,,9,
10/24/2023,Finance,Financial Modeling,,,0,,96,
4/2/2023,Unknown,Performance Marketing,7999,,0,,,7406
2/4/2024,Finance,Corporate Finance,6999,,0,,,64417
4/11/2024,Unknown,Sql Bootcamp,11999,5002,0,712,,
6/29/2023,Unknown,Sql Bootcamp,6999,46406,0,,15,86709
1/18/2023,Unknown,Sql Bootcamp,5999,67869,0,602,,
6/19/2024,Unknown,Equity Research,5999,35581,0,,78,
5/21/2024,Unknown,Data Analytics,,,22511,341,,
11/1/2024,Marketing,Digital Marketing,,15837,13759,,87,
9/9/2024,Data,Sql Bootcamp,,,0,,,
12/16/2024,Unknown,Digital Marketing,7999,,0,,,170925
11/24/2024,Data,Power Bi Mastery,7999,28537,0,440,,
3/23/2024,Unknown,Data Analytics,9999,5217,0,,82,
9/23/2024,Finance,Financial Modeling,5999,,0,,100,137408
10/5/2023,Data,Data Analytics,7999,,6580,,,
5/18/2024,Unknown,Sql Bootcamp,,,0,,30,171098
5/24/2023,Unknown,Financial Modeling,11999,,0,752,4,
11/3/2024,Unknown,Brand Strategy,5999,,0,,,
7/19/2023,Data,Data Analytics,9999,35035,0,651,35,
1/2/2023,Marketing,Performance Marketing,9999,,0,,,
11/12/2023,Unknown,Digital Marketing,,,0,,78,
11/18/2023,Marketing,Brand Strategy,11999,,16583,,11,
10/31/2023,Marketing,Digital Marketing,,39074,7512,,93,
9/18/2023,Unknown,Data Analytics,9999,,1778,233,75,
1/19/2023,Unknown,Brand Strategy,,67259,0,,59,
6/3/2023,Data,Data Analytics,7999,,21782,,6,
7/24/2024,Marketing,Digital Marketing,5999,,0,223,7,170430
8/1/2023,Data,Data Analytics,7999,,0,,4,
12/29/2023,Data,Sql Bootcamp,5999,,0,,120,
12/29/2023,Unknown,Sql Bootcamp,9999,,0,,,13985
1/16/2023,Finance,Financial Modeling,11999,,0,,28,
3/5/2023,Data,Sql Bootcamp,7999,,0,356,8,111004
5/18/2023,Data,Data Analytics,7999,,39717,639,,49414
9/24/2024,Unknown,Digital Marketing,11999,,0,,39,
3/25/2023,Unknown,Equity Research,11999,37603,0,297,,
3/23/2023,Unknown,Sql Bootcamp,5999,78782,0,,80,
7/6/2024,Unknown,Data Analytics,6999,,17359,,96,8942
6/8/2023,Marketing,Brand Strategy,7999,,0,500,99,
4/8/2023,Unknown,Equity Research,9999,,0,,,
2/11/2023,Unknown,Equity Research,5999,,0,57,11,
11/22/2024,Finance,Financial Modeling,9999,51688,0,,115,
11/9/2023,Unknown,Sql Bootcamp,9999,15328,0,,95,
10/1/2024,Unknown,Data Analytics,9999,,0,185,,
2/18/2024,Unknown,Equity Research,9999,,0,,31,23164
11/28/2024,Data,Data Analytics,6999,48808,36254,132,106,100992
3/2/2023,Unknown,Equity Research,7999,,0,540,71,15403
7/12/2023,Unknown,Digital Marketing,9999,,0,,17,148486
8/6/2024,Marketing,Performance Marketing,,15210,19094,,85,
3/10/2023,Unknown,Equity Research,6999,,45149,,5,
4/14/2023,Unknown,Sql Bootcamp,9999,,9162,,,23650
11/9/2023,Unknown,Equity Research,6999,,25468,336,92,
2/24/2024,Unknown,Sql Bootcamp,9999,,0,,76,
1/22/2024,Marketing,Digital Marketing,7999,,0,,,
6/25/2024,Marketing,Performance Marketing,6999,75306,0,,107,
6/17/2024,Marketing,Performance Marketing,,,0,,98,90339
11/2/2023,Marketing,Brand Strategy,5999,12867,0,,16,
9/17/2023,Finance,Corporate Finance,7999,86047,0,316,,102992
12/12/2023,Finance,Equity Research,11999,,0,,4,
7/3/2024,Unknown,Corporate Finance,5999,19434,0,,,
6/18/2023,Finance,Equity Research,5999,,36841,,76,
12/13/2024,Finance,Corporate Finance,7999,11441,30766,82,,
5/8/2023,Unknown,Power Bi Mastery,9999,,0,,89,
4/25/2023,Unknown,Financial Modeling,9999,85047,0,,,69381
7/1/2023,Marketing,Brand Strategy,6999,8179,0,,3,37089
4/29/2024,Finance,Equity Research,7999,78867,0,,7,118954
10/30/2023,Finance,Financial Modeling,7999,28853,0,,40,
2/13/2024,Unknown,Digital Marketing,7999,,0,,48,
6/1/2023,Unknown,Equity Research,,45948,4276,,,114843
11/15/2024,Unknown,Performance Marketing,,,0,,35,
4/27/2023,Unknown,Performance Marketing,9999,,0,,,51181
7/8/2023,Marketing,Digital Marketing,6999,,0,,29,
7/3/2024,Finance,Corporate Finance,7999,,0,,,5395
2/4/2023,Unknown,Performance Marketing,,,0,,33,
3/12/2023,Unknown,Power Bi Mastery,7999,,282,,,
7/20/2023,Unknown,Performance Marketing,5999,,18499,657,29,
10/19/2024,Unknown,Sql Bootcamp,7999,,0,128,8,
9/8/2023,Unknown,Brand Strategy,7999,,0,,,
10/11/2023,Data,Data Analytics,5999,,10393,,66,
4/23/2024,Data,Data Analytics,7999,28719,0,,,
11/28/2024,Marketing,Digital Marketing,11999,,0,,,
4/1/2024,Unknown,Equity Research,9999,,34324,503,24,
5/8/2024,Unknown,Sql Bootcamp,,,44413,,111,
4/15/2024,Unknown,Data Analytics,6999,,2257,,78,136948
8/10/2023,Data,Sql Bootcamp,9999,,0,,15,
6/4/2023,Unknown,Data Analytics,9999,,37013,,,
10/26/2023,Data,Sql Bootcamp,11999,,45684,,,
8/30/2024,Marketing,Digital Marketing,11999,,0,224,21,
10/10/2023,Data,Sql Bootcamp,5999,,0,68,,
1/13/2024,Finance,Equity Research,6999,,19310,,,186631
6/25/2023,Unknown,Sql Bootcamp,7999,,0,,2,
9/13/2024,Unknown,Financial Modeling,5999,,0,308,,
6/13/2023,Finance,Corporate Finance,9999,,0,772,87,
12/14/2024,Finance,Equity Research,7999,64058,29932,,,32926
9/8/2023,Finance,Financial Modeling,9999,,37768,,,
9/11/2024,Data,Power Bi Mastery,6999,,0,,,48802
11/23/2024,Finance,Equity Research,5999,,31740,155,92,
10/14/2024,Unknown,Sql Bootcamp,11999,40094,36134,,,
9/23/2023,Finance,Corporate Finance,9999,74387,0,84,0,100411
1/18/2023,Unknown,Corporate Finance,11999,,0,,,
8/16/2023,Data,Data Analytics,9999,,0,,,
12/12/2024,Unknown,Digital Marketing,6999,,0,98,4,83515
11/6/2023,Finance,Equity Research,7999,43367,0,,,
4/8/2024,Unknown,Performance Marketing,,15837,34578,,70,
10/13/2023,Marketing,Brand Strategy,7999,,0,688,83,35171
8/5/2024,Unknown,Corporate Finance,,45805,22399,,70,
9/21/2024,Finance,Financial Modeling,7999,,0,,,
4/24/2024,Data,Data Analytics,11999,9036,30801,,8,
5/13/2023,Unknown,Financial Modeling,6999,39008,0,,23,60870
5/11/2024,Data,Power Bi Mastery,11999,26884,0,,67,
5/6/2024,Finance,Equity Research,7999,,39824,,,102335
12/7/2023,Marketing,Performance Marketing,11999,,48331,,42,
4/24/2024,Unknown,Equity Research,9999,,0,,44,
1/18/2023,Finance,Corporate Finance,9999,,30726,147,69,
4/1/2023,Unknown,Digital Marketing,6999,35110,0,,20,
2/19/2023,Finance,Equity Research,5999,74571,0,,33,120561
3/21/2023,Finance,Corporate Finance,11999,,0,,32,
6/18/2023,Finance,Corporate Finance,11999,14076,117,249,100,
9/5/2024,Marketing,Digital Marketing,9999,,22832,,12,
11/24/2024,Unknown,Corporate Finance,9999,57432,0,,,
5/3/2024,Unknown,Digital Marketing,5999,,0,,26,
4/21/2024,Unknown,Equity Research,6999,,0,,32,25603
10/24/2024,Unknown,Brand Strategy,11999,,0,,,
5/15/2023,Finance,Equity Research,,,0,,,
8/15/2023,Unknown,Equity Research,,29994,31990,,73,
12/5/2023,Data,Sql Bootcamp,,,22217,,51,
11/14/2023,Marketing,Performance Marketing,9999,68382,0,,44,
7/31/2024,Data,Sql Bootcamp,11999,66706,27782,208,,
9/14/2024,Finance,Financial Modeling,6999,,0,582,72,99976
8/25/2024,Marketing,Digital Marketing,7999,,23900,,69,
12/27/2024,Unknown,Financial Modeling,6999,,0,505,,
12/5/2023,Unknown,Financial Modeling,9999,57294,0,,,135378
5/16/2023,Unknown,Data Analytics,11999,81647,0,,,
12/15/2024,Marketing,Digital Marketing,5999,,22713,,104,
12/22/2024,Unknown,Performance Marketing,6999,,0,,,
12/25/2024,Marketing,Digital Marketing,9999,,0,,,
11/24/2023,Unknown,Data Analytics,9999,,14797,738,,
5/26/2024,Finance,Financial Modeling,5999,19623,0,,,
5/13/2023,Finance,Financial Modeling,5999,5298,0,,74,190431
11/3/2024,Unknown,Financial Modeling,9999,,0,,,
1/23/2024,Marketing,Brand Strategy,9999,,0,,17,
1/30/2023,Unknown,Data Analytics,6999,,0,435,,
5/21/2024,Unknown,Data Analytics,9999,,0,,3,
3/10/2024,Unknown,Financial Modeling,9999,4908,0,21,,
8/10/2023,Unknown,Equity Research,9999,13043,8193,558,111,
11/4/2024,Finance,Financial Modeling,6999,57554,10087,,,
7/7/2023,Data,Sql Bootcamp,7999,,0,,,
4/24/2023,Unknown,Sql Bootcamp,11999,23165,0,,63,191905
6/14/2024,Unknown,Data Analytics,9999,54008,42240,489,,
10/16/2024,Data,Power Bi Mastery,9999,,41289,,15,
4/14/2024,Data,Data Analytics,5999,14284,0,,,37772
11/30/2023,Finance,Financial Modeling,,51578,0,,37,
7/22/2023,Unknown,Equity Research,6999,11321,0,,,
12/12/2023,Unknown,Power Bi Mastery,5999,,0,,98,
10/17/2023,Data,Sql Bootcamp,9999,23566,0,,,
7/4/2023,Marketing,Digital Marketing,9999,,39625,,15,
12/1/2023,Unknown,Equity Research,9999,47620,49195,,,
9/8/2023,Unknown,Digital Marketing,,,0,118,55,
1/28/2024,Data,Power Bi Mastery,,,0,,,
11/1/2023,Unknown,Digital Marketing,9999,,0,,,
2/18/2023,Data,Data Analytics,11999,15386,36555,643,,
5/27/2023,Unknown,Power Bi Mastery,5999,,0,,76,
6/14/2023,Unknown,Power Bi Mastery,7999,53977,23594,,58,
1/31/2024,Unknown,Financial Modeling,,,20480,,,
8/19/2023,Data,Sql Bootcamp,7999,,0,170,,
8/24/2024,Unknown,Sql Bootcamp,9999,,46578,,101,
4/21/2024,Finance,Equity Research,7999,,0,,87,
11/24/2024,Marketing,Performance Marketing,5999,,0,635,84,85375
7/18/2024,Data,Sql Bootcamp,,41261,21770,,45,
12/31/2023,Marketing,Digital Marketing,9999,,0,199,,172432
5/29/2024,Unknown,Equity Research,6999,,0,,,
4/19/2023,Unknown,Equity Research,9999,,6861,,,
12/3/2024,Unknown,Corporate Finance,6999,,0,,34,
9/24/2023,Unknown,Data Analytics,9999,16052,0,,75,
5/19/2024,Unknown,Sql Bootcamp,7999,,0,,26,
2/21/2024,Finance,Corporate Finance,9999,,0,,,
12/10/2023,Data,Data Analytics,7999,,22576,,87,
10/21/2024,Data,Power Bi Mastery,11999,,13184,,83,
2/20/2023,Unknown,Corporate Finance,11999,52360,0,331,45,
10/19/2024,Unknown,Power Bi Mastery,7999,,44666,,,
8/4/2023,Unknown,Financial Modeling,7999,21384,0,572,,
11/13/2023,Marketing,Digital Marketing,6999,,26123,,,
3/23/2024,Unknown,Digital Marketing,11999,87495,21567,,108,
9/20/2023,Marketing,Digital Marketing,9999,,0,,,
11/4/2024,Marketing,Digital Marketing,9999,,0,,,164005
